Gene	RNA blood cell specificity	RNA cancer specificity
ARL5B	Low cell type specificity	Low cancer specificity
SMCO4	Low cell type specificity	Low cancer specificity
CEP295	Low cell type specificity	Low cancer specificity
KCNC2	Not detected	Group enriched
TAF1D	Low cell type specificity	Low cancer specificity
ABTB2	Group enriched	Low cancer specificity
R3HCC1L	Low cell type specificity	Low cancer specificity
AMOTL1	Cell type enhanced	Low cancer specificity
HTRA1	Cell type enhanced	Low cancer specificity
LIPC	Low cell type specificity	Group enriched
CEP57	Low cell type specificity	Low cancer specificity
TCP11L2	Cell type enhanced	Low cancer specificity
PASD1	Not detected	Low cancer specificity
SPRED1	Cell type enhanced	Low cancer specificity
TMCO5A	Not detected	Not detected
GPR176	Cell type enriched	Low cancer specificity
JAM3	Cell type enhanced	Low cancer specificity
IL25	Not detected	Not detected
CMTM5	Group enriched	Group enriched
GLB1L3	Group enriched	Cancer enhanced
ADAMTS15	Not detected	Low cancer specificity
SVOP	Low cell type specificity	Group enriched
SPATA19	Not detected	Not detected
GPT2	Cell type enhanced	Low cancer specificity
AMN	Cell type enhanced	Low cancer specificity
RAB8B	Low cell type specificity	Low cancer specificity
IKBIP	Cell type enhanced	Low cancer specificity
RPUSD2	Low cell type specificity	Low cancer specificity
HIF1AN	Low cell type specificity	Low cancer specificity
NDUFB8	Low cell type specificity	Low cancer specificity
ZFYVE19	Low cell type specificity	Low cancer specificity
PPP1R14D	Low cell type specificity	Cancer enhanced
SPINT1	Low cell type specificity	Low cancer specificity
FBN1	Low cell type specificity	Low cancer specificity
AVPR1A	Not detected	Low cancer specificity
C16orf78	Not detected	Not detected
DEPDC4	Group enriched	Low cancer specificity
LRTM2	Not detected	Not detected
OPN1MW2	Not detected	Not detected
BRD7	Low cell type specificity	Low cancer specificity
CKB	Cell type enriched	Low cancer specificity
TRMT61A	Low cell type specificity	Low cancer specificity
BTRC	Low cell type specificity	Low cancer specificity
POLL	Low cell type specificity	Low cancer specificity
BAG5	Low cell type specificity	Low cancer specificity
DPCD	Group enriched	Low cancer specificity
LARP6	Cell type enhanced	Low cancer specificity
API5	Low cell type specificity	Low cancer specificity
ASPG	Cell type enhanced	Cancer enhanced
ZNF319	Low cell type specificity	Low cancer specificity
HPS6	Low cell type specificity	Low cancer specificity
SENP8	Low cell type specificity	Low cancer specificity
NOLC1	Low cell type specificity	Low cancer specificity
ALKBH3	Low cell type specificity	Low cancer specificity
COPS2	Low cell type specificity	Low cancer specificity
GABRB3	Not detected	Low cancer specificity
SPIC	Group enriched	Cancer enhanced
TBATA	Not detected	Not detected
SGPL1	Low cell type specificity	Low cancer specificity
FRS2	Low cell type specificity	Low cancer specificity
CCT2	Low cell type specificity	Low cancer specificity
PCBD1	Low cell type specificity	Low cancer specificity
ARIH1	Low cell type specificity	Low cancer specificity
C16orf71	Cell type enhanced	Low cancer specificity
CLMP	Low cell type specificity	Low cancer specificity
SCN3B	Low cell type specificity	Cancer enhanced
COX11	Low cell type specificity	Low cancer specificity
ZNF202	Low cell type specificity	Low cancer specificity
FAM227B	Low cell type specificity	Low cancer specificity
STXBP4	Low cell type specificity	Low cancer specificity
CYYR1	Cell type enriched	Low cancer specificity
CUL5	Low cell type specificity	Low cancer specificity
MYRFL	Not detected	Low cancer specificity
WBP1L	Low cell type specificity	Low cancer specificity
BORCS7	Low cell type specificity	Low cancer specificity
C2	Group enriched	Cancer enriched
PLEKHF1	Low cell type specificity	Low cancer specificity
TMEM100	Not detected	Low cancer specificity
ANAPC16	Low cell type specificity	Low cancer specificity
SMPD1	Low cell type specificity	Low cancer specificity
APBB1	Cell type enhanced	Low cancer specificity
SYNPO2L	Low cell type specificity	Group enriched
NUDT13	Low cell type specificity	Low cancer specificity
C11orf65	Low cell type specificity	Not detected
TRIM44	Low cell type specificity	Low cancer specificity
CCDC182	Cell type enriched	Not detected
ILK	Low cell type specificity	Low cancer specificity
TAF10	Low cell type specificity	Low cancer specificity
TPP1	Low cell type specificity	Low cancer specificity
DCHS1	Cell type enhanced	Low cancer specificity
NETO1	Group enriched	Cancer enhanced
MSS51	Cell type enhanced	Low cancer specificity
CYB5A	Low cell type specificity	Low cancer specificity
USP54	Low cell type specificity	Low cancer specificity
RAG1	Cell type enhanced	Low cancer specificity
POTED	Not detected	Not detected
C11orf74	Low cell type specificity	Low cancer specificity
WDR88	Low cell type specificity	Low cancer specificity
OR10A5	Not detected	Not detected
OR2D2	Not detected	Not detected
ATP9B	Low cell type specificity	Low cancer specificity
PPFIBP2	Low cell type specificity	Low cancer specificity
MOGAT2	Not detected	Cancer enhanced
CYB5R2	Cell type enhanced	Low cancer specificity
SERPINB7	Not detected	Low cancer specificity
KIAA0355	Low cell type specificity	Low cancer specificity
SERPINB8	Low cell type specificity	Low cancer specificity
TUB	Cell type enhanced	Low cancer specificity
RIC3	Low cell type specificity	Low cancer specificity
LMO1	Not detected	Cancer enriched
IDH3A	Cell type enhanced	Low cancer specificity
WDR72	Not detected	Low cancer specificity
CRABP1	Cell type enriched	Cancer enhanced
PLD4	Cell type enriched	Low cancer specificity
ZMAT1	Low cell type specificity	Low cancer specificity
XRRA1	Low cell type specificity	Low cancer specificity
TRIM66	Low cell type specificity	Low cancer specificity
RNF169	Low cell type specificity	Low cancer specificity
RPL27A	Low cell type specificity	Low cancer specificity
ST5	Cell type enhanced	Low cancer specificity
CDYL2	Group enriched	Low cancer specificity
TMEM130	Cell type enhanced	Cancer enhanced
PRTG	Cell type enriched	Low cancer specificity
CENPN	Low cell type specificity	Low cancer specificity
AKIP1	Low cell type specificity	Low cancer specificity
ATMIN	Low cell type specificity	Low cancer specificity
C16orf46	Cell type enhanced	Low cancer specificity
TMEM41B	Low cell type specificity	Low cancer specificity
LEO1	Low cell type specificity	Low cancer specificity
ZNF143	Low cell type specificity	Low cancer specificity
TMX3	Low cell type specificity	Low cancer specificity
MFAP4	Group enriched	Low cancer specificity
WEE1	Low cell type specificity	Low cancer specificity
MAPK7	Low cell type specificity	Low cancer specificity
PRKCB	Low cell type specificity	Low cancer specificity
HDGFL3	Cell type enhanced	Low cancer specificity
NDST2	Low cell type specificity	Low cancer specificity
MCM7	Low cell type specificity	Low cancer specificity
CLEC3A	Not detected	Cancer enriched
CCDC68	Low cell type specificity	Low cancer specificity
CLEC4E	Group enriched	Low cancer specificity
ZNF3	Low cell type specificity	Low cancer specificity
CLEC4D	Group enriched	Cancer enriched
ZSCAN21	Low cell type specificity	Low cancer specificity
RIMKLB	Low cell type specificity	Low cancer specificity
A2ML1	Low cell type specificity	Cancer enhanced
BEAN1	Group enriched	Low cancer specificity
TK2	Low cell type specificity	Low cancer specificity
TMED3	Low cell type specificity	Low cancer specificity
SLC38A8	Not detected	Cancer enriched
SEC11C	Low cell type specificity	Low cancer specificity
CPLX4	Cell type enhanced	Not detected
GALR1	Low cell type specificity	Cancer enriched
TMEM135	Low cell type specificity	Low cancer specificity
IQCD	Group enriched	Low cancer specificity
NDEL1	Low cell type specificity	Low cancer specificity
CENPV	Cell type enhanced	Low cancer specificity
CDH16	Not detected	Cancer enriched
RRAD	Not detected	Low cancer specificity
FAM96B	Low cell type specificity	Low cancer specificity
CFAP52	Not detected	Low cancer specificity
HSP90B1	Low cell type specificity	Low cancer specificity
MC4R	Not detected	Cancer enhanced
BLCAP	Low cell type specificity	Low cancer specificity
SERPINB12	Not detected	Group enriched
CHRFAM7A	Cell type enhanced	Not detected
ATF7IP2	Low cell type specificity	Low cancer specificity
MMP10	Not detected	Cancer enhanced
TVP23A	Cell type enhanced	Cancer enhanced
BEX3	Group enriched	Low cancer specificity
TMPRSS5	Not detected	Cancer enhanced
COG1	Low cell type specificity	Low cancer specificity
PLEKHA7	Group enriched	Low cancer specificity
ZNF606	Low cell type specificity	Low cancer specificity
ZCCHC18	Low cell type specificity	Cancer enhanced
B2M	Low cell type specificity	Low cancer specificity
ZNF592	Low cell type specificity	Low cancer specificity
CASC4	Low cell type specificity	Low cancer specificity
HTR3A	Group enriched	Cancer enriched
NNMT	Not detected	Low cancer specificity
ACSM1	Cell type enhanced	Group enriched
AP1G1	Low cell type specificity	Low cancer specificity
SLFN5	Group enriched	Low cancer specificity
CATSPER2	Low cell type specificity	Low cancer specificity
C16orf45	Cell type enhanced	Low cancer specificity
MARF1	Cell type enhanced	Low cancer specificity
SAAL1	Low cell type specificity	Low cancer specificity
YPEL4	Cell type enhanced	Low cancer specificity
PPIB	Low cell type specificity	Low cancer specificity
LDHC	Low cell type specificity	Low cancer specificity
FAM96A	Low cell type specificity	Low cancer specificity
LDHAL6A	Low cell type specificity	Not detected
FAM111A	Low cell type specificity	Low cancer specificity
PCLAF	Cell type enriched	Low cancer specificity
KIF7	Not detected	Low cancer specificity
LDHD	Group enriched	Low cancer specificity
PLIN1	Not detected	Cancer enhanced
PEX11A	Low cell type specificity	Low cancer specificity
TMEM170A	Low cell type specificity	Low cancer specificity
MESP1	Not detected	Group enriched
ANPEP	Cell type enriched	Low cancer specificity
SCNN1G	Cell type enhanced	Cancer enhanced
RBPMS2	Cell type enhanced	Cancer enhanced
NAV2	Cell type enhanced	Low cancer specificity
ANKDD1A	Low cell type specificity	Low cancer specificity
GLYATL1	Cell type enriched	Group enriched
C18orf54	Low cell type specificity	Low cancer specificity
DCTN5	Low cell type specificity	Low cancer specificity
TERF2IP	Low cell type specificity	Low cancer specificity
PLK1	Cell type enriched	Low cancer specificity
CLPX	Low cell type specificity	Low cancer specificity
GPR182	Not detected	Not detected
ZBTB39	Low cell type specificity	Low cancer specificity
CACNG2	Low cell type specificity	Not detected
TAC3	Not detected	Cancer enriched
MYO1A	Group enriched	Group enriched
CHP2	Low cell type specificity	Cancer enhanced
NEMP1	Low cell type specificity	Low cancer specificity
OR4D6	Not detected	Not detected
NAB2	Low cell type specificity	Low cancer specificity
VPS39	Low cell type specificity	Low cancer specificity
STAT6	Low cell type specificity	Low cancer specificity
PATL1	Low cell type specificity	Low cancer specificity
ATP23	Low cell type specificity	Low cancer specificity
ELFN2	Not detected	Low cancer specificity
STX3	Group enriched	Low cancer specificity
MRPL16	Low cell type specificity	Low cancer specificity
PIP4K2C	Low cell type specificity	Low cancer specificity
MTMR10	Cell type enhanced	Low cancer specificity
YWHAB	Low cell type specificity	Low cancer specificity
C15orf48	Group enriched	Low cancer specificity
SCG5	Group enriched	Cancer enhanced
GREM1	Low cell type specificity	Cancer enhanced
NYAP1	Not detected	Cancer enhanced
TSC22D4	Low cell type specificity	Low cancer specificity
MS4A6E	Cell type enriched	Not detected
MS4A7	Group enriched	Low cancer specificity
MS4A14	Cell type enhanced	Low cancer specificity
MS4A5	Not detected	Not detected
DIS3L	Low cell type specificity	Low cancer specificity
CCNDBP1	Low cell type specificity	Low cancer specificity
EPB42	Not detected	Not detected
TGM6	Not detected	Not detected
SMAD3	Low cell type specificity	Low cancer specificity
MS4A8	Not detected	Cancer enhanced
CCDC178	Not detected	Not detected
MS4A15	Cell type enhanced	Cancer enhanced
MAP1A	Cell type enriched	Cancer enhanced
RCCD1	Low cell type specificity	Low cancer specificity
AKTIP	Low cell type specificity	Low cancer specificity
MAPRE2	Low cell type specificity	Low cancer specificity
EVA1C	Low cell type specificity	Low cancer specificity
TCP10L2	Not detected	Not detected
MARS	Low cell type specificity	Low cancer specificity
MBD6	Cell type enriched	Low cancer specificity
CNPY4	Low cell type specificity	Low cancer specificity
PDIA3	Low cell type specificity	Low cancer specificity
NUDT21	Low cell type specificity	Low cancer specificity
NAT16	Low cell type specificity	Cancer enhanced
TERB2	Cell type enhanced	Not detected
NKX3.1	Group enriched	Cancer enriched
SGSM1	Low cell type specificity	Low cancer specificity
DUSP18	Low cell type specificity	Low cancer specificity
TEF	Low cell type specificity	Low cancer specificity
MEI1	Low cell type specificity	Cancer enhanced
B4GALNT2	Low cell type specificity	Low cancer specificity
PBX3	Cell type enriched	Low cancer specificity
GNGT2	Cell type enhanced	Low cancer specificity
PHB	Low cell type specificity	Low cancer specificity
SNRPD1	Low cell type specificity	Low cancer specificity
TTC16	Group enriched	Not detected
SUN5	Not detected	Not detected
SAMD14	Cell type enhanced	Cancer enhanced
PIP5KL1	Group enriched	Low cancer specificity
BPIFB6	Not detected	Not detected
TMEM92	Cell type enriched	Low cancer specificity
FAM102A	Low cell type specificity	Low cancer specificity
ACSF2	Low cell type specificity	Low cancer specificity
GOLGA2	Low cell type specificity	Low cancer specificity
TRUB2	Low cell type specificity	Low cancer specificity
COQ4	Low cell type specificity	Low cancer specificity
SLC27A4	Low cell type specificity	Low cancer specificity
LINC00483	Cell type enhanced	Group enriched
URM1	Low cell type specificity	Low cancer specificity
CERCAM	Cell type enhanced	Low cancer specificity
DOLPP1	Low cell type specificity	Low cancer specificity
CCDC103	Low cell type specificity	Not detected
ENDOG	Low cell type specificity	Low cancer specificity
TBC1D21	Not detected	Not detected
PRRX2	Not detected	Low cancer specificity
UGT1A6	Not detected	Cancer enhanced
C15orf39	Cell type enhanced	Low cancer specificity
ISLR2	Low cell type specificity	Low cancer specificity
SP2	Low cell type specificity	Low cancer specificity
PRR15L	Cell type enhanced	Low cancer specificity
COQ7	Cell type enriched	Low cancer specificity
GPRC5B	Cell type enriched	Low cancer specificity
CRK	Low cell type specificity	Low cancer specificity
C16orf92	Not detected	Not detected
GOLGA6C	Not detected	Not detected
FBXO22	Low cell type specificity	Low cancer specificity
TBC1D2B	Low cell type specificity	Low cancer specificity
NOD2	Group enriched	Low cancer specificity
SNX20	Low cell type specificity	Low cancer specificity
LOXHD1	Cell type enhanced	Cancer enhanced
KATNAL2	Low cell type specificity	Low cancer specificity
HDHD2	Low cell type specificity	Low cancer specificity
ZNF91	Low cell type specificity	Low cancer specificity
IGF2	Not detected	Low cancer specificity
RNF214	Cell type enhanced	Low cancer specificity
CDK12	Low cell type specificity	Low cancer specificity
DPEP2	Group enriched	Low cancer specificity
DUS2	Low cell type specificity	Low cancer specificity
POP5	Low cell type specificity	Low cancer specificity
ENGASE	Cell type enhanced	Low cancer specificity
RBFOX3	Cell type enhanced	Cancer enhanced
ATP5MG	Low cell type specificity	Low cancer specificity
CD3D	Group enriched	Low cancer specificity
TBC1D16	Group enriched	Low cancer specificity
TEPSIN	Low cell type specificity	Low cancer specificity
MYO5B	Cell type enhanced	Low cancer specificity
ART5	Cell type enriched	Cancer enhanced
ACAA2	Low cell type specificity	Low cancer specificity
STIM1	Low cell type specificity	Low cancer specificity
RRM1	Low cell type specificity	Low cancer specificity
OR51E2	Low cell type specificity	Cancer enriched
TRIM68	Low cell type specificity	Low cancer specificity
MMP26	Not detected	Group enriched
OR51B5	Cell type enriched	Cancer enriched
OR51I1	Not detected	Not detected
OR51Q1	Not detected	Not detected
FN3K	Not detected	Low cancer specificity
PRRT2	Cell type enriched	Cancer enhanced
ZNF23	Low cell type specificity	Not detected
IRGQ	Low cell type specificity	Low cancer specificity
ZNF226	Low cell type specificity	Low cancer specificity
ZNF180	Low cell type specificity	Low cancer specificity
PPP2R3B	Cell type enhanced	Low cancer specificity
ZNF668	Low cell type specificity	Low cancer specificity
ZNF646	Cell type enhanced	Low cancer specificity
VKORC1	Low cell type specificity	Low cancer specificity
GNG8	Cell type enhanced	Cancer enhanced
LPO	Low cell type specificity	Not detected
CA4	Cell type enriched	Low cancer specificity
SMG8	Low cell type specificity	Low cancer specificity
TPM4	Low cell type specificity	Low cancer specificity
RAB8A	Low cell type specificity	Low cancer specificity
GPX4	Low cell type specificity	Low cancer specificity
MIDN	Cell type enriched	Low cancer specificity
JSRP1	Cell type enriched	Cancer enhanced
FAM129C	Group enriched	Low cancer specificity
KLHL26	Low cell type specificity	Low cancer specificity
GATAD2A	Low cell type specificity	Low cancer specificity
MVD	Low cell type specificity	Low cancer specificity
CDT1	Low cell type specificity	Low cancer specificity
TRAPPC2L	Low cell type specificity	Low cancer specificity
ANKRD11	Low cell type specificity	Low cancer specificity
SPATA33	Low cell type specificity	Low cancer specificity
SGK494	Not detected	Low cancer specificity
PROCA1	Low cell type specificity	Low cancer specificity
RPL13	Low cell type specificity	Low cancer specificity
ZNF641	Low cell type specificity	Low cancer specificity
LALBA	Not detected	Cancer enriched
CACNB3	Cell type enhanced	Low cancer specificity
DHRS13	Cell type enriched	Low cancer specificity
TP53I13	Cell type enhanced	Low cancer specificity
KMT2D	Cell type enhanced	Low cancer specificity
CORO6	Group enriched	Cancer enhanced
RHEBL1	Low cell type specificity	Low cancer specificity
TUBA1A	Cell type enhanced	Cancer enriched
TUBA1C	Cell type enhanced	Low cancer specificity
ZNF610	Low cell type specificity	Low cancer specificity
ZNF528	Low cell type specificity	Low cancer specificity
ZNF701	Low cell type specificity	Low cancer specificity
SERTAD3	Low cell type specificity	Low cancer specificity
NCKAP5L	Low cell type specificity	Low cancer specificity
RAB4B	Low cell type specificity	Low cancer specificity
AQP2	Group enriched	Group enriched
GPD1	Not detected	Low cancer specificity
PROSER3	Cell type enhanced	Low cancer specificity
CYP2S1	Group enriched	Low cancer specificity
AXL	Cell type enhanced	Low cancer specificity
NFKBID	Low cell type specificity	Low cancer specificity
TMC4	Cell type enhanced	Low cancer specificity
ANKRD33	Not detected	Not detected
LAIR1	Low cell type specificity	Low cancer specificity
TTYH1	Not detected	Cancer enriched
LENG8	Low cell type specificity	Low cancer specificity
CDC42EP5	Not detected	Low cancer specificity
LAIR2	Cell type enriched	Low cancer specificity
TMEM145	Group enriched	Cancer enhanced
ZNF526	Low cell type specificity	Low cancer specificity
TRAPPC9	Low cell type specificity	Low cancer specificity
KIR3DL1	Cell type enriched	Not detected
NLRP7	Cell type enriched	Cancer enriched
ZNF146	Low cell type specificity	Low cancer specificity
ZNF283	Low cell type specificity	Low cancer specificity
PPP1R14A	Group enriched	Low cancer specificity
SPINT2	Low cell type specificity	Low cancer specificity
C19orf33	Cell type enriched	Low cancer specificity
YIF1B	Low cell type specificity	Low cancer specificity
DNAAF3	Not detected	Low cancer specificity
PSCA	Not detected	Cancer enriched
ATCAY	Low cell type specificity	Cancer enriched
LY6D	Not detected	Group enriched
DAPK3	Low cell type specificity	Low cancer specificity
EEF2	Low cell type specificity	Low cancer specificity
TMIGD2	Cell type enhanced	Low cancer specificity
CHAF1A	Cell type enhanced	Low cancer specificity
UBXN6	Low cell type specificity	Low cancer specificity
HDGFL2	Low cell type specificity	Low cancer specificity
PLIN4	Cell type enhanced	Low cancer specificity
SEMA6B	Not detected	Low cancer specificity
ZNF444	Low cell type specificity	Low cancer specificity
NXN	Low cell type specificity	Low cancer specificity
FAM57A	Low cell type specificity	Low cancer specificity
GLOD4	Low cell type specificity	Low cancer specificity
MFSD3	Low cell type specificity	Low cancer specificity
GPT	Group enriched	Cancer enriched
KIFC2	Not detected	Low cancer specificity
SLC43A2	Cell type enhanced	Low cancer specificity
RILP	Group enriched	Low cancer specificity
SERPINF2	Cell type enriched	Cancer enriched
WDR81	Low cell type specificity	Low cancer specificity
SRR	Low cell type specificity	Low cancer specificity
TSR1	Low cell type specificity	Low cancer specificity
TRPV3	Cell type enhanced	Low cancer specificity
HSD11B1L	Low cell type specificity	Low cancer specificity
CYB5D2	Low cell type specificity	Low cancer specificity
GGT6	Cell type enhanced	Low cancer specificity
C19orf48	Low cell type specificity	Low cancer specificity
KLK1	Group enriched	Group enriched
KLK4	Not detected	Cancer enriched
KLK2	Low cell type specificity	Cancer enriched
KLK5	Not detected	Cancer enhanced
KLK6	Not detected	Cancer enhanced
KLK11	Not detected	Low cancer specificity
KLK13	Not detected	Cancer enhanced
ZNF83	Low cell type specificity	Low cancer specificity
KRT80	Not detected	Low cancer specificity
KRT1	Group enriched	Group enriched
ACER1	Low cell type specificity	Group enriched
OTUB1	Low cell type specificity	Low cancer specificity
RCOR2	Not detected	Low cancer specificity
ANGPTL4	Group enriched	Cancer enhanced
CD320	Low cell type specificity	Low cancer specificity
SPRYD3	Low cell type specificity	Low cancer specificity
IGFBP6	Group enriched	Low cancer specificity
SOAT2	Group enriched	Group enriched
ZNF558	Low cell type specificity	Low cancer specificity
CABP2	Not detected	Not detected
NDUFV1	Low cell type specificity	Low cancer specificity
CDK2AP2	Low cell type specificity	Low cancer specificity
NUDT8	Low cell type specificity	Low cancer specificity
TBX10	Not detected	Group enriched
PRDX2	Low cell type specificity	Low cancer specificity
OR8J3	Not detected	Not detected
OR5I1	Not detected	Not detected
ZNF232	Low cell type specificity	Low cancer specificity
MIS12	Low cell type specificity	Low cancer specificity
CD300C	Group enriched	Low cancer specificity
CD300A	Low cell type specificity	Low cancer specificity
TEKT1	Not detected	Group enriched
HID1	Cell type enhanced	Low cancer specificity
MRPL58	Low cell type specificity	Low cancer specificity
ATP5PD	Low cell type specificity	Low cancer specificity
TMEM88	Group enriched	Low cancer specificity
EVPL	Low cell type specificity	Low cancer specificity
SRP68	Low cell type specificity	Low cancer specificity
MGAT5B	Not detected	Group enriched
TMC8	Low cell type specificity	Low cancer specificity
TK1	Cell type enhanced	Low cancer specificity
TMEM68	Low cell type specificity	Low cancer specificity
CYP7A1	Not detected	Cancer enriched
GSDMA	Low cell type specificity	Cancer enhanced
KRT24	Cell type enriched	Cancer enhanced
TMEM99	Low cell type specificity	Low cancer specificity
GHDC	Low cell type specificity	Low cancer specificity
FAM234A	Low cell type specificity	Low cancer specificity
SOST	Cell type enhanced	Group enriched
PRR25	Cell type enhanced	Not detected
ZNF598	Low cell type specificity	Low cancer specificity
RAB26	Cell type enhanced	Low cancer specificity
MLST8	Low cell type specificity	Low cancer specificity
E4F1	Low cell type specificity	Low cancer specificity
DNASE1L2	Group enriched	Low cancer specificity
ECI1	Low cell type specificity	Low cancer specificity
CASKIN1	Not detected	Low cancer specificity
ABCA3	Low cell type specificity	Low cancer specificity
KCTD5	Cell type enriched	Low cancer specificity
SRRM2	Cell type enhanced	Low cancer specificity
ZNF597	Cell type enhanced	Low cancer specificity
NLRC3	Low cell type specificity	Low cancer specificity
SDHAF2	Low cell type specificity	Low cancer specificity
DDB1	Low cell type specificity	Low cancer specificity
VPS37C	Cell type enhanced	Low cancer specificity
VWCE	Not detected	Low cancer specificity
RAB3IL1	Not detected	Low cancer specificity
BEST1	Cell type enriched	Group enriched
FTH1	Cell type enhanced	Low cancer specificity
BSCL2	Low cell type specificity	Low cancer specificity
POLR2G	Low cell type specificity	Low cancer specificity
SLC3A2	Low cell type specificity	Low cancer specificity
HRASLS5	Group enriched	Low cancer specificity
SPINDOC	Low cell type specificity	Low cancer specificity
ATG16L2	Cell type enhanced	Low cancer specificity
C2CD3	Cell type enhanced	Low cancer specificity
TRANK1	Cell type enriched	Low cancer specificity
TTC21A	Cell type enhanced	Low cancer specificity
RPSA	Low cell type specificity	Low cancer specificity
ENTPD3	Cell type enriched	Low cancer specificity
CTNNB1	Low cell type specificity	Low cancer specificity
ULK4	Low cell type specificity	Low cancer specificity
FADD	Low cell type specificity	Low cancer specificity
LTBP3	Cell type enhanced	Low cancer specificity
NAALADL1	Cell type enhanced	Low cancer specificity
SAC3D1	Low cell type specificity	Low cancer specificity
BATF2	Cell type enhanced	Low cancer specificity
SLC22A11	Not detected	Group enriched
SF1	Low cell type specificity	Low cancer specificity
MAP4K2	Low cell type specificity	Low cancer specificity
MAJIN	Cell type enhanced	Low cancer specificity
CCDC88B	Low cell type specificity	Low cancer specificity
SCARA3	Not detected	Low cancer specificity
PBK	Cell type enhanced	Low cancer specificity
SCARA5	Cell type enriched	Low cancer specificity
PNOC	Group enriched	Cancer enriched
COPS6	Low cell type specificity	Low cancer specificity
PAFAH1B2	Low cell type specificity	Low cancer specificity
ANKS3	Low cell type specificity	Low cancer specificity
NUDT16L1	Low cell type specificity	Low cancer specificity
KIAA1586	Low cell type specificity	Low cancer specificity
RAB4A	Cell type enhanced	Low cancer specificity
OR1F1	Group enriched	Not detected
OR2B2	Not detected	Not detected
KCNJ4	Not detected	Cancer enhanced
SETD5	Low cell type specificity	Low cancer specificity
VASN	Not detected	Low cancer specificity
FAM83B	Not detected	Cancer enhanced
HIST3H3	Not detected	Not detected
THAP9	Low cell type specificity	Low cancer specificity
OR2C1	Cell type enhanced	Not detected
RNF187	Cell type enhanced	Low cancer specificity
HOOK3	Low cell type specificity	Low cancer specificity
MAPK1IP1L	Low cell type specificity	Low cancer specificity
DDIT4	Low cell type specificity	Low cancer specificity
RBPJ	Low cell type specificity	Low cancer specificity
LMBRD1	Low cell type specificity	Low cancer specificity
ZCCHC4	Low cell type specificity	Low cancer specificity
PTGDR	Group enriched	Low cancer specificity
TTC39C	Low cell type specificity	Cancer enhanced
GLYCTK	Low cell type specificity	Cancer enriched
GNG4	Low cell type specificity	Low cancer specificity
UBTD2	Low cell type specificity	Low cancer specificity
POLR2J3	Low cell type specificity	Low cancer specificity
NKIRAS2	Low cell type specificity	Low cancer specificity
DNAJC7	Low cell type specificity	Low cancer specificity
KCNV2	Cell type enhanced	Cancer enriched
IRF2BP2	Low cell type specificity	Low cancer specificity
PTF1A	Not detected	Cancer enhanced
NT5DC2	Group enriched	Low cancer specificity
FOXI1	Cell type enriched	Group enriched
SMIM4	Low cell type specificity	Low cancer specificity
COA6	Low cell type specificity	Low cancer specificity
KIF5C	Cell type enriched	Cancer enhanced
MGAT2	Low cell type specificity	Low cancer specificity
BMI1	Low cell type specificity	Low cancer specificity
THAP11	Low cell type specificity	Low cancer specificity
MMADHC	Low cell type specificity	Low cancer specificity
PDHB	Low cell type specificity	Low cancer specificity
PXK	Low cell type specificity	Low cancer specificity
HIST1H1E	Low cell type specificity	Low cancer specificity
PCMTD1	Low cell type specificity	Low cancer specificity
KCTD6	Low cell type specificity	Low cancer specificity
MPLKIP	Low cell type specificity	Low cancer specificity
ACOX2	Not detected	Cancer enhanced
FAM107A	Low cell type specificity	Cancer enriched
IRF2	Low cell type specificity	Low cancer specificity
MOBP	Not detected	Cancer enriched
CX3CR1	Cell type enhanced	Cancer enhanced
PPDPFL	Not detected	Group enriched
XIRP1	Not detected	Cancer enhanced
INSM2	Not detected	Not detected
DEGS2	Cell type enhanced	Low cancer specificity
SCN11A	Not detected	Not detected
ARF4	Low cell type specificity	Low cancer specificity
SEPT2	Low cell type specificity	Low cancer specificity
FILIP1L	Cell type enhanced	Low cancer specificity
MFSD2A	Group enriched	Low cancer specificity
DTYMK	Low cell type specificity	Low cancer specificity
TAP1	Low cell type specificity	Low cancer specificity
ING5	Low cell type specificity	Low cancer specificity
ATG4B	Low cell type specificity	Low cancer specificity
BDKRB2	Cell type enhanced	Low cancer specificity
MLKL	Low cell type specificity	Low cancer specificity
RFWD3	Low cell type specificity	Low cancer specificity
MTNR1A	Not detected	Not detected
KCNG4	Low cell type specificity	Not detected
RHOH	Low cell type specificity	Low cancer specificity
KLHL30	Cell type enhanced	Low cancer specificity
COG7	Low cell type specificity	Low cancer specificity
CDC40	Low cell type specificity	Low cancer specificity
STIP1	Low cell type specificity	Low cancer specificity
SCNN1B	Not detected	Cancer enhanced
HR	Not detected	Low cancer specificity
TXNDC2	Cell type enhanced	Not detected
RAB31	Cell type enhanced	Low cancer specificity
REEP4	Low cell type specificity	Low cancer specificity
TNXB	Not detected	Low cancer specificity
LGI3	Not detected	Cancer enhanced
SFTPC	Not detected	Cancer enriched
BMP1	Low cell type specificity	Low cancer specificity
ATXN2L	Low cell type specificity	Low cancer specificity
PHYHIP	Not detected	Low cancer specificity
CCDC110	Cell type enhanced	Low cancer specificity
POLR3D	Low cell type specificity	Low cancer specificity
FEN1	Low cell type specificity	Low cancer specificity
CAVIN2	Group enriched	Low cancer specificity
MTCL1	Cell type enhanced	Low cancer specificity
GBX2	Not detected	Group enriched
HFE2	Not detected	Cancer enriched
SCGB1D1	Not detected	Group enriched
HEXIM2	Low cell type specificity	Low cancer specificity
FNTA	Low cell type specificity	Low cancer specificity
