Gene	RNA blood cell specificity	RNA cancer specificity
DPYSL3	Not detected	Low cancer specificity
SMAD5	Cell type enhanced	Low cancer specificity
CSNK1A1	Low cell type specificity	Low cancer specificity
HMGXB3	Low cell type specificity	Low cancer specificity
ERGIC1	Low cell type specificity	Low cancer specificity
PDGFRB	Cell type enhanced	Low cancer specificity
CDX1	Not detected	Cancer enhanced
ATP6V0E1	Low cell type specificity	Low cancer specificity
BNIP1	Low cell type specificity	Low cancer specificity
STC2	Not detected	Cancer enriched
CPEB4	Cell type enriched	Low cancer specificity
HRH2	Cell type enhanced	Cancer enhanced
DBN1	Cell type enhanced	Low cancer specificity
ZNF346	Low cell type specificity	Low cancer specificity
UNC5A	Cell type enhanced	Cancer enhanced
EHHADH	Low cell type specificity	Group enriched
CNTN3	Not detected	Low cancer specificity
SMC4	Low cell type specificity	Low cancer specificity
SELENOK	Cell type enhanced	Low cancer specificity
ACTR8	Cell type enhanced	Low cancer specificity
TBCCD1	Low cell type specificity	Low cancer specificity
TIMMDC1	Low cell type specificity	Low cancer specificity
CRBN	Low cell type specificity	Low cancer specificity
KNG1	Cell type enhanced	Cancer enriched
HRG	Not detected	Cancer enriched
BCL6	Cell type enriched	Low cancer specificity
HGD	Cell type enriched	Cancer enhanced
CLDN16	Low cell type specificity	Group enriched
ARL6	Low cell type specificity	Low cancer specificity
NPHP3	Low cell type specificity	Low cancer specificity
CD86	Group enriched	Low cancer specificity
AMOTL2	Not detected	Low cancer specificity
NIT2	Low cell type specificity	Low cancer specificity
FAM162A	Low cell type specificity	Low cancer specificity
OGG1	Low cell type specificity	Low cancer specificity
KPNA1	Low cell type specificity	Low cancer specificity
PCCB	Low cell type specificity	Low cancer specificity
UBE3A	Low cell type specificity	Low cancer specificity
ARMC8	Low cell type specificity	Low cancer specificity
CEP70	Group enriched	Low cancer specificity
RBP2	Not detected	Cancer enhanced
RBP1	Low cell type specificity	Low cancer specificity
SLC25A36	Low cell type specificity	Low cancer specificity
GRK7	Cell type enhanced	Not detected
RNF7	Low cell type specificity	Low cancer specificity
TFDP2	Low cell type specificity	Low cancer specificity
XRN1	Low cell type specificity	Low cancer specificity
KAT2B	Low cell type specificity	Low cancer specificity
BCHE	Not detected	Group enriched
SERPINI2	Cell type enhanced	Cancer enriched
PDCD10	Low cell type specificity	Low cancer specificity
LRRC31	Not detected	Low cancer specificity
WNT5A	Not detected	Low cancer specificity
PFKFB4	Group enriched	Low cancer specificity
COL7A1	Cell type enriched	Low cancer specificity
FGF12	Low cell type specificity	Low cancer specificity
PRKAR2A	Low cell type specificity	Low cancer specificity
HES1	Cell type enriched	Low cancer specificity
USP4	Low cell type specificity	Low cancer specificity
ACAP2	Cell type enhanced	Low cancer specificity
ECT2	Low cell type specificity	Low cancer specificity
GNAT1	Not detected	Not detected
GNAI2	Low cell type specificity	Low cancer specificity
TFG	Low cell type specificity	Low cancer specificity
USP9Y	Low cell type specificity	Cancer enhanced
HYAL1	Cell type enhanced	Cancer enhanced
TUSC2	Low cell type specificity	Low cancer specificity
NPRL2	Low cell type specificity	Low cancer specificity
RPL24	Low cell type specificity	Low cancer specificity
CYB561D2	Low cell type specificity	Low cancer specificity
C3orf14	Cell type enhanced	Low cancer specificity
FXR1	Low cell type specificity	Low cancer specificity
CBLB	Low cell type specificity	Low cancer specificity
BBX	Low cell type specificity	Low cancer specificity
IFT57	Cell type enhanced	Low cancer specificity
GNB4	Low cell type specificity	Low cancer specificity
HHLA2	Cell type enhanced	Group enriched
IQCG	Low cell type specificity	Low cancer specificity
GBE1	Low cell type specificity	Low cancer specificity
MORC1	Cell type enhanced	Not detected
UMPS	Low cell type specificity	Low cancer specificity
NCBP2	Low cell type specificity	Low cancer specificity
SNX4	Low cell type specificity	Low cancer specificity
C3orf52	Cell type enhanced	Low cancer specificity
FRMD4B	Low cell type specificity	Low cancer specificity
SLC41A3	Low cell type specificity	Low cancer specificity
ROPN1B	Cell type enhanced	Cancer enhanced
PLXNA1	Low cell type specificity	Low cancer specificity
ATP6V1A	Cell type enhanced	Low cancer specificity
ABTB1	Cell type enriched	Low cancer specificity
PODXL2	Low cell type specificity	Low cancer specificity
UPK1B	Low cell type specificity	Cancer enhanced
CSPG5	Not detected	Cancer enriched
KLHL18	Low cell type specificity	Low cancer specificity
SCAP	Low cell type specificity	Low cancer specificity
EFCC1	Not detected	Low cancer specificity
KIAA1257	Cell type enriched	Low cancer specificity
NEK11	Low cell type specificity	Low cancer specificity
MRPL3	Low cell type specificity	Low cancer specificity
PLSCR4	Cell type enriched	Low cancer specificity
HEMK1	Low cell type specificity	Low cancer specificity
CISH	Low cell type specificity	Low cancer specificity
MAPKAPK3	Group enriched	Low cancer specificity
ACVR2B	Low cell type specificity	Low cancer specificity
WDR48	Low cell type specificity	Low cancer specificity
COMMD2	Low cell type specificity	Low cancer specificity
GORASP1	Low cell type specificity	Low cancer specificity
PEX5L	Not detected	Cancer enhanced
RRP9	Low cell type specificity	Low cancer specificity
ABCC5	Low cell type specificity	Low cancer specificity
AADAC	Not detected	Cancer enriched
ABHD14B	Low cell type specificity	Low cancer specificity
EIF1B	Low cell type specificity	Low cancer specificity
ABHD14A.ACY1	Low cell type specificity	Not detected
ARHGEF26	Not detected	Low cancer specificity
KLHL24	Low cell type specificity	Low cancer specificity
PLCH1	Cell type enhanced	Low cancer specificity
VIPR1	Group enriched	Cancer enhanced
DNAH1	Low cell type specificity	Low cancer specificity
SSR3	Low cell type specificity	Low cancer specificity
ZBTB47	Cell type enhanced	Low cancer specificity
TNNC1	Cell type enhanced	Low cancer specificity
NKTR	Low cell type specificity	Low cancer specificity
CLCN2	Not detected	Low cancer specificity
FOXP1	Low cell type specificity	Low cancer specificity
EIF4G1	Low cell type specificity	Low cancer specificity
SPCS1	Low cell type specificity	Low cancer specificity
NEK4	Low cell type specificity	Low cancer specificity
SLC4A3	Group enriched	Low cancer specificity
INO80D	Low cell type specificity	Low cancer specificity
EEF1B2	Low cell type specificity	Low cancer specificity
ADAM23	Cell type enriched	Low cancer specificity
DGUOK	Low cell type specificity	Low cancer specificity
MOB1A	Low cell type specificity	Low cancer specificity
KANSL3	Low cell type specificity	Low cancer specificity
LMAN2L	Low cell type specificity	Low cancer specificity
RTKN	Cell type enhanced	Low cancer specificity
